5886,,,,,,,
83,,,,,,,
UID,Y,X,BEARING_ANGLE,SPEED_RESTRICTION,CAMERA_TYPE,DIR_TYPE,Version
76,55.8484033,37.567395,163,60,1,1,20150520
77,55.8677484,37.9920798,21,60,1,1,20150520
78,55.7042747,37.6398928,285,80,1,1,20150520
80,55.7219363,37.6978981,311,80,1,1,20150520
81,55.71565,37.67854,335,60,1,1,20150520
82,55.825314,37.572663,180,60,1,1,20150520
83,55.8440965,37.3797828,134,60,1,1,20150520
84,55.8104449,37.4873877,288,80,1,1,20150520
85,55.750429,37.450692,67,60,1,1,20150520
86,55.7506403,37.4511319,238,60,1,1,20150520
87,55.9981967,37.2108389,161,60,1,1,20150520
88,55.8468667,37.3747833,313,60,1,1,20150520
89,55.7087391,37.5916934,45,60,1,1,20150520
90,55.713361,37.537363,334,60,1,1,20150520
91,55.710441,37.53906,158,60,1,1,20150520
92,55.7297611,37.6193785,269,60,1,1,20150520
93,55.63355,37.61959,184,80,1,1,20150520
94,55.6429181,37.7467948,348,60,1,1,20150520
95,55.82123,38.18089,79,60,1,1,20150520
98,55.6156698,37.5407877,18,40,1,1,20150520
339,55.80424183,37.43068825,253,60,1,1,20150520
100,55.644805,37.746045,348,60,1,1,20150520
101,55.770715,37.555289,170,60,1,1,20150520
102,55.7094311,37.6217633,10,60,1,1,20150520
104,55.98249,38.12043,36,60,1,1,20150520
298,55.84984286,37.18508765,308,60,1,1,20150520
106,55.7383032,37.5277756,68,80,1,1,20150520
107,55.7176203,37.7914775,286,60,1,1,20150520
108,55.2693119,37.5109291,176,60,1,1,20150520
109,55.6450614,37.5276691,210,60,1,1,20150520
110,55.7804957,37.6680867,227,60,1,1,20150520
111,55.57239,37.45451,220,60,1,1,20150520
112,56.27065,38.12083,185,40,1,1,20150520
114,55.3366932,38.4397476,342,60,1,1,20150520
5161,54.91176347,37.5122112,4,110,1,1,20150520
116,56.0624093,38.2563858,53,60,1,1,20150520
117,54.9172314,37.5135872,200,110,1,1,20150520
118,55.9866097,37.2786735,305,60,1,1,20150520
119,56.16551,37.0125,139,60,1,1,20150520
120,56.15686,37.02617,139,60,1,1,20150520
121,55.7331049,37.543401,345,60,1,1,20150520
122,55.7342626,37.542569,144,60,1,1,20150520
123,55.55835,36.57497,262,70,1,1,20150520
124,55.5938735,37.601531,16,80,1,1,20150520
126,55.811329,37.389014,189,100,1,1,20150520
128,55.7098402,37.5311313,315,60,1,1,20150520
129,55.3825666,36.78101025,38,70,1,1,20150520
130,55.8291,37.64971,211,60,1,1,20150520
131,55.6356259,37.463612,326,100,1,1,20150520
133,55.738188,37.565537,214,60,1,1,20150520
134,55.5749422,37.6132547,96,100,1,1,20150520
306,55.65922109,37.5154421,300,60,1,1,20150520
136,55.7085153,37.531574,136,60,1,1,20150520
137,55.794222,37.544951,130,60,1,1,20150520
138,55.671265,37.8367375,346,100,1,1,20150520
3898,52.581492,85.17489,147,70,1,1,20150520
141,55.606939,37.7628263,46,100,1,1,20150520
143,55.7063409,37.393278,325,100,1,1,20150520
145,55.6809473,37.481476,158,60,1,1,20150520
916,55.73606902,49.18260455,226,60,1,1,20150520
147,55.69878,37.40282,145,100,1,1,20150520
3885,57.99849601,56.15557551,82,60,5,1,20150520
152,55.7178523,37.519825,45,60,1,1,20150520
