2063,,,,,,,
12,,,,,,,
UID,Y,X,BEARING_ANGLE,SPEED_RESTRICTION,CAMERA_TYPE,DIR_TYPE,Version
,22.650229,120.309156,180,50,1,1,2015Q2
,22.650416,120.325389,45,50,1,1,2015Q2
,22.650974,120.296516,90,50,1,1,2015Q2
,22.651164,120.300518,270,50,1,1,2015Q2
,22.651397,120.28811,270,50,1,1,2015Q2
,22.651677,120.292038,180,60,1,1,2015Q2
,22.652134,120.455244,90,70,3,1,2015Q2
,22.652268,120.455206,270,70,3,1,2015Q2
,22.653417,120.319129,315,50,1,1,2015Q2
,22.653457,120.365024,0,60,1,1,2015Q2
,22.653866,120.28141,180,60,1,1,2015Q2
,22.654744,120.297094,270,50,1,1,2015Q2
,22.655115,120.288231,180,50,1,1,2015Q2
,22.655205,120.465792,45,70,3,1,2015Q2
,22.655802,120.46682,270,60,3,1,2015Q2
,22.656202,120.31151,90,50,1,1,2015Q2
,22.656214,120.311438,270,50,1,1,2015Q2
,22.616442,120.31829,0,50,1,1,2015Q2
,22.61646,120.353102,135,50,3,1,2015Q2
,22.616563,120.303417,180,50,1,1,2015Q2
,22.616627,120.300832,180,50,1,1,2015Q2
,22.616823,120.302889,90,50,1,1,2015Q2
,22.617129,120.303799,270,50,1,1,2015Q2
,22.617408,120.293776,180,50,1,1,2015Q2
,22.617584,120.314322,180,60,1,1,2015Q2
,22.617722,120.315689,90,50,1,1,2015Q2
,22.619044,120.482146,180,60,3,1,2015Q2
,22.619113,120.302683,0,50,1,1,2015Q2
,22.619372,120.29273,135,50,1,1,2015Q2
,22.620562,120.313216,180,60,1,1,2015Q2
,22.620619,120.289231,0,40,1,1,2015Q2
,22.6209,120.284242,315,40,1,1,2015Q2
,22.620904,120.293942,225,50,1,1,2015Q2
,22.621684,120.312796,0,60,1,1,2015Q2
,22.622721,120.367862,45,60,3,1,2015Q2
,22.622931,120.279903,135,40,1,1,2015Q2
,22.623138,120.368379,225,50,1,1,2015Q2
,22.623185,120.298275,180,50,1,1,2015Q2
,22.623528,120.33586,0,50,3,1,2015Q2
,22.623943,120.308845,315,50,1,1,2015Q2
,22.624552,120.371913,45,50,1,1,2015Q2
,22.624704,120.32012,0,50,1,1,2015Q2
,22.62471,120.344317,0,50,3,1,2015Q2
,22.624737,120.305967,90,50,1,1,2015Q2
,22.624901,120.293947,270,50,1,1,2015Q2
,22.62497,120.344649,270,50,1,1,2015Q2
,22.625577,120.339539,135,50,1,1,2015Q2
